adj,noun,adj_article,article,mass
male,goldfish,a,a,FALSE
solid,lady,a,a,FALSE
blind,eye,a,an,FALSE
ankle,boot,an,a,FALSE
flat,one,a,a,FALSE
giant,sundial,a,a,FALSE
umbrella,tree,an,a,FALSE
sugar,cube,a,a,FALSE
orange,drop,an,a,FALSE
oven,door,an,a,FALSE
hot,cross,a,a,FALSE
nylon,shirt,a,a,FALSE
paraplegic,sky,a,a,FALSE
crusty,top,a,a,FALSE
roast,beef,,,TRUE
red,meat,,,TRUE
quarry,tile,a,a,FALSE
plastic,edging,,,TRUE
square,one,a,a,FALSE
back,wall,a,a,FALSE
bright,shirt,a,a,FALSE
hot,food,,,TRUE
hot,curry,a,a,FALSE
back,bedroom,a,a,FALSE
red,squirrel,a,a,FALSE
yellow,leaf,a,a,FALSE
acid,soil,,,TRUE
brown,leaf,a,a,FALSE
frost,sun,,,TRUE
dark,leaf,a,a,FALSE
green,leaf,a,a,FALSE
blowing,wind,,,TRUE
lighter,hair,,,TRUE
bright,light,a,a,FALSE
yellow,one,a,a,FALSE
solar,battery,a,a,FALSE
prawn,sandwich,a,a,FALSE
crusty,roll,a,a,FALSE
brown,sauce,,,TRUE
lead,boot,a,a,FALSE
top,shelf,a,a,FALSE
brown,basket,a,a,FALSE
icy,road,an,a,FALSE
red,paint,,,TRUE
teddy,home,a,a,FALSE
daddy,daddy,a,a,FALSE
bottom,lip,a,a,FALSE
top,corner,a,a,FALSE
round,hand,a,a,FALSE
ski,pants,,,TRUE
diary,office,a,an,FALSE
curly,hair,,,TRUE
print,shop,a,a,FALSE
mum,mummy,a,a,FALSE
solid,door,a,a,FALSE
red,light,a,a,FALSE
yellow,slab,a,a,FALSE
pink,pinky,a,a,FALSE
pinky,violet,a,a,FALSE
barge,person,a,a,FALSE
granite,horse,a,a,FALSE
iron,leg,an,a,FALSE
thick,model,a,a,FALSE
sunny,day,a,a,FALSE
dirty,pavement,,,TRUE
shoe,museum,a,a,FALSE
jet,engine,a,an,FALSE
egg,yard,an,a,FALSE
drawing,office,a,an,FALSE
fatty,lady,a,a,FALSE
top,man,a,a,FALSE
blind,spot,a,a,FALSE
dustbin,man,a,a,FALSE
whisky,ginger,,,TRUE
library,book,a,a,FALSE
glass,house,a,a,FALSE
tonic,water,,,TRUE
cod,oil,,,TRUE
plum,pudding,,,TRUE
green,mat,a,a,FALSE
burnt,rubber,,,TRUE
bottom,dollar,a,a,FALSE
hot,room,a,a,FALSE
jaw,jaw,a,a,FALSE
slave,driver,a,a,FALSE
square,face,a,a,FALSE
rusty,nail,a,a,FALSE
pattern,hole,a,a,FALSE
frozen,shoulder,a,a,FALSE
gold,ring,a,a,FALSE
quarter,motor,a,a,FALSE
cupboard,door,a,a,FALSE
dark,suit,a,a,FALSE
round,case,a,a,FALSE
wet,snow,,,TRUE
top,coat,a,a,FALSE
broken,arm,a,an,FALSE
cooker,hood,a,a,FALSE
oat,meal,an,a,FALSE
meal,cake,a,a,FALSE
oat,porridge,,,TRUE
sky,movie,a,a,FALSE
hot,pot,a,a,FALSE
male,lead,a,a,FALSE
top,slab,a,a,FALSE
freezing,road,a,a,FALSE
thick,piece,a,a,FALSE
thick,clip,a,a,FALSE
peg,stone,a,a,FALSE
yellow,plastic,,,TRUE
yellow,metal,,,TRUE
plastic,metal,,,TRUE
dead,dad,a,a,FALSE
apple,tree,an,a,FALSE
fork,lift,a,a,FALSE
back,ball,a,a,FALSE
whisky,drop,a,a,FALSE
tin,potato,a,a,FALSE
hot,whisky,,,TRUE
wheelie,bin,a,a,FALSE
green,one,a,a,FALSE
dirty,fox,a,a,FALSE
orange,peel,an,a,FALSE
record,case,a,a,FALSE
brick,wall,a,a,FALSE
brown,bag,a,a,FALSE
bright,spot,a,a,FALSE
brown,sugar,,,TRUE
navy,one,a,a,FALSE
hot,towel,a,a,FALSE
back,slum,a,a,FALSE
farm,house,a,a,FALSE
blind,person,a,a,FALSE
dark,chap,a,a,FALSE
fish,finger,a,a,FALSE
mummy,shout,a,a,FALSE
dark,lounge,a,a,FALSE
cut,glass,a,a,FALSE
dirty,movie,a,a,FALSE
crusty,loaf,a,a,FALSE
dirty,player,a,a,FALSE
rugby,player,a,a,FALSE
red,shoot,a,a,FALSE
pink,flower,a,a,FALSE
garden,furniture,,,TRUE
stroke,month,a,a,FALSE
key,cellar,a,a,FALSE
pound,coin,a,a,FALSE
blooming,girl,a,a,FALSE
outside,toilet,an,a,FALSE
flat,fish,a,a,FALSE
glass,washer,a,a,FALSE
dart,board,a,a,FALSE
garden,sign,a,a,FALSE
bright,beer,a,a,FALSE
plastic,cupboard,a,a,FALSE
wet,slab,a,a,FALSE
wooden,platter,a,a,FALSE
ferry,back,a,a,FALSE
till,roll,a,a,FALSE
secretary,treasurer,a,a,FALSE
green,bag,a,a,FALSE
bottom,office,a,an,FALSE
top,bar,a,a,FALSE
red,white,,,TRUE
gold,dust,,,TRUE
teddy,bear,a,a,FALSE
flat,floor,a,a,FALSE
eleven,gallon,an,a,FALSE
push,person,a,a,FALSE
wooden,floor,a,a,FALSE
round,carpet,a,a,FALSE
bottom,corner,a,a,FALSE
pull,pint,a,a,FALSE
plastic,glasses,,,TRUE
brown,ale,a,an,FALSE
till,man,a,a,FALSE
top,model,a,a,FALSE
joint,one,a,a,FALSE
till,desk,a,a,FALSE
top,grill,a,a,FALSE
bottom,oven,a,an,FALSE
top,oven,a,an,FALSE
red,blood,,,TRUE
baby,alarm,a,an,FALSE
fridge,magnet,a,a,FALSE
blond,hair,,,TRUE
dark,pet,a,a,FALSE
bin,girl,a,a,FALSE
orange,packet,an,a,FALSE
dark,brown,,,TRUE
hot,oil,,,TRUE
ear,phone,an,a,FALSE
dead,obituary,a,an,FALSE
obituary,obituary,an,an,FALSE
gold,necklace,a,a,FALSE
snack,bar,a,a,FALSE
hot,chocolate,,,TRUE
green,grass,,,TRUE
yellow,fat,,,TRUE
vitamin,pill,a,a,FALSE
fat,lady,a,a,FALSE
roast,potato,a,a,FALSE
prawn,cocktail,a,a,FALSE
saucepan,lid,a,a,FALSE
onion,stuffing,,,TRUE
red,one,a,a,FALSE
plastic,container,a,a,FALSE
manual,alloy,a,an,FALSE
hill,top,a,a,FALSE
outside,lane,an,a,FALSE
dirty,swine,a,a,FALSE
fat,finger,a,a,FALSE
toy,boy,a,a,FALSE
secretary,table,a,a,FALSE
mauve,ring,a,a,FALSE
top,hand,a,a,FALSE
watch,mum,a,a,FALSE
thick,hair,,,TRUE
write,chip,a,a,FALSE
honey,honey,,,TRUE
slim,girl,a,a,FALSE
wet,washing,,,TRUE
round,penny,a,a,FALSE
instrument,panel,an,a,FALSE
karate,suit,a,a,FALSE
karate,money,,,TRUE
wet,shirt,a,a,FALSE
red,gravy,,,TRUE
bright,child,a,a,FALSE
hot,bath,a,a,FALSE
wooden,table,a,a,FALSE
dark,green,,,TRUE
porcelain,doll,a,a,FALSE
plastic,tray,a,a,FALSE
solid,block,a,a,FALSE
blooming,boiler,a,a,FALSE
hot,tap,a,a,FALSE
festival,company,a,a,FALSE
yellow,hat,a,a,FALSE
top,tap,a,a,FALSE
plastic,card,a,a,FALSE
questionnaire,letter,a,a,FALSE
top,floor,a,a,FALSE
upstairs,cafe,an,a,FALSE
orange,belt,an,a,FALSE
yellow,green,,,TRUE
orange,green,,,TRUE
sweatshirt,top,a,a,FALSE
sleeveless,suit,a,a,FALSE
aunt,calendar,an,a,FALSE
bald,head,a,a,FALSE
solar,shop,a,a,FALSE
manual,gear,a,a,FALSE
thick,tights,,,TRUE
tee,shirt,a,a,FALSE
hind,leg,a,a,FALSE
red,tape,a,a,FALSE
top,line,a,a,FALSE
log,book,a,a,FALSE
mummy,mummy,a,a,FALSE
sickle,cell,a,a,FALSE
pink,oval,a,an,FALSE
solid,feed,,,TRUE
machine,smock,a,a,FALSE
blind,case,a,a,FALSE
thick,inch,a,an,FALSE
honey,marmalade,,,TRUE
orange,marmalade,,,TRUE
sweet,gift,a,a,FALSE
thick,marmalade,,,TRUE
crust,parking,,,TRUE
library,picture,a,a,FALSE
cooler,outfit,a,an,FALSE
round,mark,a,a,FALSE
hot,pattern,a,a,FALSE
grey,beard,a,a,FALSE
bridesmaid,dress,a,a,FALSE
bright,bright,a,a,FALSE
bottom,door,a,a,FALSE
hot,pipe,a,a,FALSE
downstairs,loo,a,a,FALSE
wet,whisker,a,a,FALSE
thick,wood,,,TRUE
green,door,a,a,FALSE
naked,fence,a,a,FALSE
quarter,inch,a,an,FALSE
thick,point,a,a,FALSE
pound,dollar,a,a,FALSE
outside,tap,an,a,FALSE
top,branch,a,a,FALSE
fish,pie,a,a,FALSE
green,chain,a,a,FALSE
pink,violet,a,a,FALSE
pond,pond,a,a,FALSE
sweet,packet,a,a,FALSE
wooden,box,a,a,FALSE
ironing,board,an,a,FALSE
sunny,spot,a,a,FALSE
yellow,ball,a,a,FALSE
red,ball,a,a,FALSE
yellow,hoop,a,a,FALSE
yellow,red,,,TRUE
prawn,ball,a,a,FALSE
hot,air,,,TRUE
stuffed,mushroom,a,a,FALSE
hot,spice,a,a,FALSE
hot,sauce,,,TRUE
red,suit,a,a,FALSE
red,tie,a,a,FALSE
red,day,a,a,FALSE
shield,brooch,a,a,FALSE
red,dress,a,a,FALSE
silver,beard,a,a,FALSE
doggy,bin,a,a,FALSE
plastic,heron,a,a,FALSE
plastic,duck,a,a,FALSE
top,window,a,a,FALSE
dark,paint,,,TRUE
varnish,stripper,a,a,FALSE
varnish,paint,,,TRUE
thick,one,a,a,FALSE
sweet,one,a,a,FALSE
bright,boy,a,a,FALSE
sycamore,tree,a,a,FALSE
grave,gravestone,a,a,FALSE
marble,hearth,a,a,FALSE
hearth,hearth,a,a,FALSE
cable,run,a,a,FALSE
round,wall,a,a,FALSE
quarter,pipe,a,a,FALSE
varnish,stain,a,a,FALSE
stroke,room,a,a,FALSE
yellow,radiator,a,a,FALSE
paint,plaster,a,a,FALSE
pest,attack,a,an,FALSE
dark,ceiling,a,a,FALSE
solid,path,a,a,FALSE
broken,leg,a,a,FALSE
hot,shit,,,TRUE
eleven,platform,an,a,FALSE
organ,pipe,an,a,FALSE
post,office,a,an,FALSE
plastic,spoon,a,a,FALSE
bottom,one,a,a,FALSE
wet,kiss,a,a,FALSE
yellow,piece,a,a,FALSE
standing,wall,a,a,FALSE
human,earth,,,TRUE
human,race,a,a,FALSE
dead,one,a,a,FALSE
brake,fluid,,,TRUE
round,one,a,a,FALSE
watch,strap,a,a,FALSE
thick,dad,a,a,FALSE
plastic,back,a,a,FALSE
baby,boy,a,a,FALSE
wet,road,a,a,FALSE
wet,tarmac,a,a,FALSE
thick,person,a,a,FALSE
telegraph,person,a,a,FALSE
red,van,a,a,FALSE
organ,university,an,a,FALSE
nanny,training,a,a,FALSE
dead,brother,a,a,FALSE
seaside,cart,a,a,FALSE
farm,cat,a,a,FALSE
round,field,a,a,FALSE
garden,shoulder,a,a,FALSE
singing,contest,a,a,FALSE
back,leg,a,a,FALSE
hind,foot,a,a,FALSE
horseman,horseman,a,a,FALSE
farm,instrument,a,an,FALSE
thistle,spud,a,a,FALSE
dust,wagon,a,a,FALSE
dead,stone,a,a,FALSE
red,flap,a,a,FALSE
forty,video,a,a,FALSE
chief,accountant,a,an,FALSE
top,garden,a,a,FALSE
dark,screen,a,a,FALSE
brown,paper,a,a,FALSE
lighter,snack,a,a,FALSE
green,flower,a,a,FALSE
solid,rain,,,TRUE
record,gate,a,a,FALSE
fish,pond,a,a,FALSE
solid,hedge,a,a,FALSE
red,cap,a,a,FALSE
green,cap,a,a,FALSE
woman,door,a,a,FALSE
cloud,smoke,,,TRUE
garden,shed,a,a,FALSE
garden,chair,a,a,FALSE
primrose,oil,,,TRUE
infant,teacher,an,a,FALSE
poppy,day,a,a,FALSE
dolly,bird,a,a,FALSE
key,ring,a,a,FALSE
dart,duster,a,a,FALSE
flat,night,a,a,FALSE
pussy,hair,,,TRUE
purple,cat,a,a,FALSE
alley,pal,an,a,FALSE
gold,ticket,a,a,FALSE
rainy,day,a,a,FALSE
lead,picture,a,a,FALSE
military,police,,,TRUE
dead,horse,a,a,FALSE
thick,head,a,a,FALSE
wife,battering,a,a,FALSE
blond,boy,a,a,FALSE
bottom,floor,a,a,FALSE
fat,pig,a,a,FALSE
sweet,granny,a,a,FALSE
grey,hair,,,TRUE
brown,lettuce,,,TRUE
brandy,butter,,,TRUE
roast,lamb,a,a,FALSE
quarter,eight,a,an,FALSE
toy,bus,a,a,FALSE
flat,box,a,a,FALSE
red,jumper,a,a,FALSE
silver,car,a,a,FALSE
square,side,a,a,FALSE
wooden,puzzle,a,a,FALSE
hot,roll,a,a,FALSE
green,pepper,a,a,FALSE
apple,apple,an,an,FALSE
library,ticket,a,a,FALSE
hot,bottle,a,a,FALSE
lad,lad,a,a,FALSE
hot,tray,a,a,FALSE
fat,cheese,,,TRUE
bright,beak,a,a,FALSE
orange,beak,an,a,FALSE
brown,ribbon,a,a,FALSE
green,salad,a,a,FALSE
tonic,glass,a,a,FALSE
shelve,divider,a,a,FALSE
ankle,sock,an,a,FALSE
underwear,sock,an,a,FALSE
fish,net,a,a,FALSE
fat,roll,a,a,FALSE
paint,brush,a,a,FALSE
plastic,circle,a,a,FALSE
back,seat,a,a,FALSE
top,inch,a,an,FALSE
green,finger,a,a,FALSE
dogs,biscuit,a,a,FALSE
brown,syrup,,,TRUE
frost,rising,a,a,FALSE
red,shoe,a,a,FALSE
round,tablet,a,a,FALSE
fat,leg,a,a,FALSE
orange,apple,an,an,FALSE
spot,check,a,a,FALSE
red,dog,a,a,FALSE
green,card,a,a,FALSE
slate,mine,a,a,FALSE
flat,land,,,TRUE
eleven,eleven,an,an,FALSE
throw,mud,,,TRUE
red,wine,,,TRUE
brown,bread,,,TRUE
pool,one,a,a,FALSE
flaming,desk,a,a,FALSE
freezing,water,,,TRUE
wooden,door,a,a,FALSE
exterior,light,an,a,FALSE
marble,roll,a,a,FALSE
sash,window,a,a,FALSE
grate,fire,,,TRUE
outside,world,an,a,FALSE
dirty,dish,a,a,FALSE
red,basket,a,a,FALSE
top,shop,a,a,FALSE
flat,timber,,,TRUE
top,hit,a,a,FALSE
sirloin,steak,a,a,FALSE
sleeveless,top,a,a,FALSE
navy,shorts,,,TRUE
brown,suite,a,a,FALSE
pink,square,a,a,FALSE
pink,burgundy,,,TRUE
dead,minty,a,a,FALSE
square,yard,a,a,FALSE
drop,curtain,a,a,FALSE
cigar,smoke,,,TRUE
quarter,past,a,a,FALSE
plastic,grid,a,a,FALSE
spiral,nail,a,a,FALSE
spiral,grip,a,a,FALSE
sliced,potato,a,a,FALSE
oven,top,an,a,FALSE
eleven,pound,an,a,FALSE
dark,one,a,a,FALSE
dark,glasses,,,TRUE
plastic,one,a,a,FALSE
wooden,one,a,a,FALSE
wooden,reel,a,a,FALSE
plastic,wallet,a,a,FALSE
hot,sausage,a,a,FALSE
brown,patch,a,a,FALSE
plastic,sack,a,a,FALSE
broken,car,a,a,FALSE
bottom,drawer,a,a,FALSE
sweet,chocolate,,,TRUE
metal,plate,a,a,FALSE
fat,dinner,a,a,FALSE
jelly,fish,a,a,FALSE
mashed,potato,a,a,FALSE
burnt,finger,a,a,FALSE
garden,door,a,a,FALSE
hot,day,a,a,FALSE
top,penthouse,a,a,FALSE
seventh,mutant,a,a,FALSE
solar,eclipse,a,an,FALSE
chief,art,,,TRUE
chief,advisor,a,an,FALSE
round,side,a,a,FALSE
yellow,line,a,a,FALSE
picnic,table,a,a,FALSE
apple,core,an,a,FALSE
red,lady,a,a,FALSE
tin,can,a,a,FALSE
freeze,coffee,,,TRUE
gold,coffee,,,TRUE
top,sinking,a,a,FALSE
bottom,cupboard,a,a,FALSE
powder,paint,,,TRUE
glazed,window,a,a,FALSE
red,car,a,a,FALSE
salmon,leaping,a,a,FALSE
dill,top,a,a,FALSE
orange,cake,an,a,FALSE
strawberry,chocolate,,,TRUE
dirty,bottom,a,a,FALSE
wooden,trough,a,a,FALSE
blonde,one,a,a,FALSE
dirty,cloth,a,a,FALSE
material,flower,a,a,FALSE
stew,pot,a,a,FALSE
wet,post,a,a,FALSE
bright,red,,,TRUE
gold,fish,a,a,FALSE
brown,one,a,a,FALSE
blind,corner,a,a,FALSE
beep,beep,a,a,FALSE
dirty,outside,a,an,FALSE
hot,wax,,,TRUE
hot,wash,a,a,FALSE
pregnant,person,a,a,FALSE
green,path,a,a,FALSE
puppy,dog,a,a,FALSE
fat,girl,a,a,FALSE
forty,eight,a,an,FALSE
back,garden,a,a,FALSE
yellow,sleeve,a,a,FALSE
yellow,orange,a,an,FALSE
sweat,top,a,a,FALSE
top,trainer,a,a,FALSE
top,prize,a,a,FALSE
microwave,film,a,a,FALSE
blooming,month,a,a,FALSE
blond,captain,a,a,FALSE
push,push,a,a,FALSE
pork,pork,,,TRUE
village,village,a,a,FALSE
boat,person,a,a,FALSE
star,crew,a,a,FALSE
sheet,side,a,a,FALSE
day,pastor,a,a,FALSE
shaving,mirror,a,a,FALSE
hand,bag,a,a,FALSE
dog,collar,a,a,FALSE
sister,church,a,a,FALSE
woman,sitting,a,a,FALSE
bank,manager,a,a,FALSE
group,secretary,a,a,FALSE
home,committee,a,a,FALSE
tape,recorder,a,a,FALSE
gum,tree,a,a,FALSE
tree,branch,a,a,FALSE
stand,point,a,a,FALSE
page,moderator,a,a,FALSE
committee,report,a,a,FALSE
letter,side,a,a,FALSE
wastepaper,basket,a,a,FALSE
road,license,a,a,FALSE
church,minister,a,a,FALSE
grocery,warehouse,a,a,FALSE
tape,measure,a,a,FALSE
directory,directory,a,a,FALSE
mouse,driver,a,a,FALSE
chip,dot,a,a,FALSE
dot,bat,a,a,FALSE
bat,file,a,a,FALSE
disc,driver,a,a,FALSE
grandfather,clock,a,a,FALSE
glass,water,,,TRUE
water,man,a,a,FALSE
door,handle,a,a,FALSE
fire,grate,a,a,FALSE
oil,filter,an,a,FALSE
cloth,mum,a,a,FALSE
light,hair,,,TRUE
heart,muscle,a,a,FALSE
rain,day,a,a,FALSE
wall,light,a,a,FALSE
lollipop,lady,a,a,FALSE
hand,motor,a,a,FALSE
fat,lump,a,a,FALSE
petrol,account,a,an,FALSE
brother,drive,a,a,FALSE
parent,girl,a,a,FALSE
pigeon,outfit,a,an,FALSE
pill,box,a,a,FALSE
heart,attack,a,an,FALSE
flower,box,a,a,FALSE
pound,forty,a,a,FALSE
cross,bun,a,a,FALSE
pill,pen,a,a,FALSE
food,card,a,a,FALSE
wood,hardware,,,TRUE
day,cigarette,a,a,FALSE
cigarette,smoking,,,TRUE
gun,throw,a,a,FALSE
phone,call,a,a,FALSE
rabbit,pie,a,a,FALSE
dressing,table,a,a,FALSE
room,suite,a,a,FALSE
bedroom,window,a,a,FALSE
curtain,window,a,a,FALSE
pound,video,a,a,FALSE
wrist,watch,a,a,FALSE
wedding,ring,a,a,FALSE
radio,cassette,a,a,FALSE
door,speaker,a,a,FALSE
pound,market,a,a,FALSE
fish,market,a,a,FALSE
tape,head,a,a,FALSE
leg,pork,,,TRUE
turkey,breast,a,a,FALSE
family,meat,,,TRUE
meat,pie,a,a,FALSE
onion,gravy,,,TRUE
cabbage,carrot,a,a,FALSE
baby,carrot,a,a,FALSE
pirate,station,a,a,FALSE
worktop,inch,a,an,FALSE
roof,rack,a,a,FALSE
light,green,,,TRUE
hand,shop,a,a,FALSE
press,record,a,a,FALSE
record,button,a,a,FALSE
water,washing,,,TRUE
washing,wall,a,a,FALSE
board,rubber,,,TRUE
report,school,a,a,FALSE
school,report,a,a,FALSE
fork,fork,a,a,FALSE
slim,chap,a,a,FALSE
fire,officer,a,an,FALSE
room,bathroom,a,a,FALSE
kitchen,bathroom,a,a,FALSE
floor,bedroom,a,a,FALSE
bay,window,a,a,FALSE
jack,queen,a,a,FALSE
king,king,a,a,FALSE
ace,flush,an,a,FALSE
eel,letter,an,a,FALSE
wolf,hound,a,a,FALSE
hound,letter,a,a,FALSE
stone,letter,a,a,FALSE
buffalo,letter,a,a,FALSE
carp,family,a,a,FALSE
tea,bag,a,a,FALSE
bathroom,shop,a,a,FALSE
carpet,shop,a,a,FALSE
smoke,alarm,a,an,FALSE
water,tank,a,a,FALSE
litter,tray,a,a,FALSE
night,wooden,a,a,FALSE
wooden,stair,a,a,FALSE
stair,carpet,a,a,FALSE
stall,light,a,a,FALSE
hall,lighting,,,TRUE
timer,switch,a,a,FALSE
lighting,hallway,a,a,FALSE
country,lane,a,a,FALSE
hand,bike,a,a,FALSE
kid,driving,,,TRUE
cat,litter,,,TRUE
horse,horse,a,a,FALSE
jump,jockey,a,a,FALSE
people,parking,,,TRUE
car,park,a,a,FALSE
park,car,a,a,FALSE
police,station,a,a,FALSE
police,man,a,a,FALSE
picture,window,a,a,FALSE
bottle,bank,a,a,FALSE
television,television,a,a,FALSE
paper,boy,a,a,FALSE
paper,shop,a,a,FALSE
plant,pot,a,a,FALSE
stone,cup,a,a,FALSE
video,camera,a,a,FALSE
back,window,a,a,FALSE
river,path,a,a,FALSE
sand,sand,,,TRUE
juice,drop,a,a,FALSE
vitamin,drop,a,a,FALSE
bacon,bone,a,a,FALSE
cheese,sandwich,a,a,FALSE
peanut,butter,,,TRUE
jam,jam,,,TRUE
shirt,top,a,a,FALSE
animal,fat,,,TRUE
blood,check,a,a,FALSE
cream,cake,a,a,FALSE
wall,tile,a,a,FALSE
cardboard,box,a,a,FALSE
mother,stone,a,a,FALSE
ginger,wine,,,TRUE
light,switch,a,a,FALSE
telephone,point,a,a,FALSE
bathroom,ceiling,a,a,FALSE
cake,stall,a,a,FALSE
pet,shop,a,a,FALSE
breast,lump,a,a,FALSE
hand,side,a,a,FALSE
fruit,tree,a,a,FALSE
wire,sandwich,a,a,FALSE
netting,sandwich,a,a,FALSE
car,mat,a,a,FALSE
north,wind,,,TRUE
kitchen,net,a,a,FALSE
net,curtain,a,a,FALSE
market,stall,a,a,FALSE
fruit,stall,a,a,FALSE
fish,stall,a,a,FALSE
people,zombie,a,a,FALSE
pipe,band,a,a,FALSE
milk,bottle,a,a,FALSE
money,money,,,TRUE
water,filter,a,a,FALSE
chicken,prawn,a,a,FALSE
tuna,fish,a,a,FALSE
coleslaw,coleslaw,,,TRUE
potato,scoop,a,a,FALSE
salad,sandwich,a,a,FALSE
onion,sandwich,an,a,FALSE
peach,material,a,a,FALSE
tie,back,a,a,FALSE
tomato,sauce,,,TRUE
carrier,bag,a,a,FALSE
light,lunch,a,a,FALSE
cheese,slice,a,a,FALSE
beef,hash,a,a,FALSE
popcorn,popcorn,,,TRUE
bum,bum,a,a,FALSE
fat,tummy,a,a,FALSE
box,girl,a,a,FALSE
kick,kick,a,a,FALSE
milk,milk,,,TRUE
pound,pound,a,a,FALSE
pearl,ribbon,a,a,FALSE
mum,mum,a,a,FALSE
dressing,gown,a,a,FALSE
hamper,money,,,TRUE
gas,bill,a,a,FALSE
gold,band,a,a,FALSE
gun,runner,a,a,FALSE
shot,guns,a,a,FALSE
night,granddad,a,a,FALSE
granddad,glass,a,a,FALSE
granddad,kiss,a,a,FALSE
horse,box,a,a,FALSE
inch,wheel,an,a,FALSE
pound,standing,,,TRUE
cylinder,gas,,,TRUE
dad,hand,a,a,FALSE
tool,side,a,a,FALSE
night,till,a,a,FALSE
pear,tree,a,a,FALSE
world,star,a,a,FALSE
country,house,a,a,FALSE
kitchen,door,a,a,FALSE
till,eight,a,an,FALSE
meat,horse,a,a,FALSE
cabbage,plant,a,a,FALSE
pudding,bag,a,a,FALSE
bag,street,a,a,FALSE
ladies,mother,a,a,FALSE
bow,window,a,a,FALSE
bread,knife,a,a,FALSE
back,page,a,a,FALSE
paper,model,a,a,FALSE
chest,paddling,a,a,FALSE
movie,channel,a,a,FALSE
music,box,a,a,FALSE
clothes,line,a,a,FALSE
machinery,catalogue,a,a,FALSE
cigar,smoking,,,TRUE
wedding,day,a,a,FALSE
day,pound,a,a,FALSE
oak,chest,an,a,FALSE
submarine,pen,a,a,FALSE
sunlight,cloud,a,a,FALSE
foot,pruner,a,a,FALSE
dog,dirt,,,TRUE
computer,man,a,a,FALSE
glass,building,a,a,FALSE
inch,wire,an,a,FALSE
bottom,bar,a,a,FALSE
office,girl,an,a,FALSE
film,star,a,a,FALSE
school,playground,a,a,FALSE
ice,box,an,a,FALSE
sleep,walk,a,a,FALSE
sleep,walking,,,TRUE
food,shopping,,,TRUE
bar,lounge,a,a,FALSE
marble,fire,,,TRUE
light,car,a,a,FALSE
kitchen,window,a,a,FALSE
cutting,edge,a,an,FALSE
jam,pot,a,a,FALSE
liver,oil,,,TRUE
cod,taste,a,a,FALSE
oil,taste,an,a,FALSE
gas,fire,,,TRUE
back,chair,a,a,FALSE
rum,truffle,a,a,FALSE
wood,cylinder,a,a,FALSE
cardboard,cylinder,a,a,FALSE
tobacco,jar,a,a,FALSE
door,key,a,a,FALSE
garage,key,a,a,FALSE
milk,man,a,a,FALSE
card,table,a,a,FALSE
wood,worm,a,a,FALSE
cartoon,ring,a,a,FALSE
movie,camera,a,a,FALSE
foot,piece,a,a,FALSE
freeze,meal,a,a,FALSE
rice,pud,,,TRUE
tea,room,a,a,FALSE
wood,window,a,a,FALSE
nose,inch,a,an,FALSE
scrap,paper,a,a,FALSE
cream,chocolate,,,TRUE
ice,cream,,,TRUE
sleep,till,a,a,FALSE
motorway,bridge,a,a,FALSE
kitchen,table,a,a,FALSE
meal,porridge,,,TRUE
meal,bread,,,TRUE
throat,honey,,,TRUE
pot,pigeon,a,a,FALSE
curry,rice,,,TRUE
eight,piece,an,a,FALSE
